"","Breaking.Bad","Planet.Earth","Sherlock","The.Shawshank.Redemption","Human.Planet","The.Blue.Planet","The.Godfather","Interstellar","Life","Pulp.Fiction","The.Dark.Knight","The.Godfather..Part.II","The.Good..the.Bad.and.the.Ugly","Valley.Uprising","X12.Angry.Men","Boyhood","Fight.Club","Schindler.s.List","The.Decalogue","The.Lord.of.the.Rings..The.Return.of.the.King","Goodfellas","Gravity","House.of.Cards","Inception","One.Flew.Over.the.Cuckoo.s.Nest","Seven.Samurai","Star.Wars","Star.Wars..Episode.V...The.Empire.Strikes.Back","The.Lord.of.the.Rings..The.Fellowship.of.the.Ring","Casablanca","City.of.God","Forrest.Gump","It.s.a.Wonderful.Life","Once.Upon.a.Time.in.the.West","Se7en","Tell.It.on.the.Mountain","The.Lego.Movie","The.Lord.of.the.Rings..The.Two.Towers","The.Matrix"
"3076","0.236794516806128","0.0593990659827829","0.158499306754811","0","0.125210992568886","0.371174651616082","0","0.074884468694726","0.258732430959034","0","0.0508093467048796","0","0.132717499195074","0.0599237661378394","0.475500891112375","0.0751596906091234","0.209181466941136","0","0.10846759403242","0.271952174706674","0.137752970725224","0","0.210261837100845","0.264824779244051","0.16763803421493","0.193530959727529","","0.0685282822388326","","0.0545425769400177","0","0","0","","0","0","0.0677747395738309","0.143030681265109","0.404388801603234"
"3083","0","0.0962374860905087","0","0","0","0.051330467729169","0","0","0","0.069679479086411","0","0","0.103714444119584","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0.144526267411571","0.0772472736794528","0","0.118768647822386","0","0","0.134756540360005"
"3123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3153","0","0","0.0643391195705801","0.079410755756634","0","0","0","0","0","0","0.126136630847827","","0","0","0","0","0.0608539191361667","0","0.130674619918979","0","0.05442395247141","0","0.0875211541526432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0847636347674825","0"
"3156","0.0733989707260446","0","0","0","0.102824123326396","0","0.0849511728888671","0.179211421626818","0","","0","0","0.179881661787585","0.223533040766118","0","0","0","0","0","0.0696969404741374","0","0.194424307667669","0","0","0.208487184627528","0","0","0","0","0","0.0544720883032212","0.0865699000215074","0.395919788469113","0","0","","0","0","0.045737886478943"
"3164","0","0","0","0.0833269675791733","0.140697837522895","0","","0.122610622228491","0","0","0","0","0","0.0784920064788018","0","0.100479091057365","0","0","0","0.0609980617781359","0","0.137268396991459","0","0.0853818848394925","0","0","0","0.158679632927647","0.0511657977097264","0.178608446133822","0","0.118456616342213","0","0","0.137961224434499","0.0784003243221997","0","0","0"
"3180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3201","0.0980835003566818","0.154323300306474","0.139510101964601","0","0.0644484300252817","","0","0.180787099933911","0.0723564717059316","0.0496603309771867","0","0","","0.195515770586809","0.319726783657224","0","0.0584991716656038","0","0.055830290940016","0.149018326948914","0.0523180130966045","0","0","0.117330767708692","0.154465507870826","0.168020516137296","0.202796188676245","0","","0.0545425769400177","0","0","0.128754232391279","0.292113493551217","0","0.101575220215265","0.0677747395738309","0.0543224659058046","0.275217780194791"
"3205","0","0.154323300306474","0","0.143534703886018","0.109061452310485","0.0548745782129733","0.0960515338544264","0.105902631239185","0","0.188313669637934","0","0","","","0","0","0","0","0","0.115579300294224","0","0.106403133095664","0","0","0.0961217926089815","0","0","0.0819999867511244","0.0528813264424594","0","0.0385175830246001","0","0.252006647368676","0","0","0.202861463400544","0","0","0"
"3255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3265","0.0681492334541019","0","0.114596150301651","0","0","0","0","0","0","0","0.193636491100826","0.231627326500859","0","0","0","0.0639581115455297","","0","","0","0.149555993794414","0","0","0","0","0","0.0712408738739957","0","0","0","0","0","0","0","0","0","0.159657526753904","0.278942700085087","0"
"3268","0.0733989707260446","0","0","0","0","0","0","0.0723452698862335","","0","0.329828472737286","0.0808481271249915","0","0","0.0415155390572389","0.0889301452233314","0.0583690287420703","0.0982677769306307","0.12533869230087","0","","0.110905540525887","0.337778019336386","0","0","0.0769890054915387","0.167154491244453","0","0","0.105386270819443","0.065968974975871","0.0524206776908603","0.0351823541392627","0","","0","0","0","0"
"3281","0.0890093262103237","0.258041188675272","","0.0587649812684705","0.223255910543671","0.0672073582361156","0","0","0","0","0.0489056943473158","0.0935635264016044","0","0","0","0","0.205880894377635","0","0.115132430470353","0","0.0402744252597213","0.0726047192071243","0.0678674035471469","0","0","0","0.0789300410080183","0.0659607619988761","0.0541257632075992","0","0","0","0","0","0","0","","0.125452361255042","0.0705750910388678"
"3322","0.0733989707260446","0","0.0822825540850065","0","0","0","0","0","0","0","0","0.0808481271249915","0","0","0","0.206654982855462","0.175107086226211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"3347","0.310193487532172","0","0.0687216799765158","0","0.125210992568886","0.244447241604373","0","0.074884468694726","0.593476555942327","0","0.421114397580531","0.213166935105594","0.132717499195074","0.0599237661378394","0.283321288551954","0","0.172021748379067","0","0.23380628633329","0.271952174706674","","0","","0.392558340139747","0.16763803421493","0.193530959727529","0.354354615398133","0.0685282822388326","","0.0545425769400177","0","0","0","","0","0","0.178450425844431","0.0543224659058046","0.421023510088714"
"3351","0","0.0680501790189448","0","0.143534703886018","0.109061452310485","0","0.20224049996551","0","0","0.138653338660747","0","0","0.176895950261755","","0","0.0861062428564424","0","0.0994812189668351","0","0.185276240768362","0","0.106403133095664","0","0","0","0","0","","0.0528813264424594","0.102039817950652","0.0385175830246001","0","0.123252414977398","0","0","0.10128624318528","0.0633974637407761","0","0"
"3360","0.0890093262103237","","","0.0587649812684705","0.280094083288819","0.0672073582361156","0","0","0","0","0.0489056943473158","0.0935635264016044","0.103714444119584","0","0","0","0.205880894377635","0","0.115132430470353","0","0.0402744252597213","0.183510259733011","0.0678674035471469","0","0.0599424692242247","0","0.0789300410080183","0.13006310035934","0.0541257632075992","0","0.060221159482964","0","0","0","0","0","","0.125452361255042","0.0705750910388678"
"3362","0.138711016449446","0","0.0909892554878586","0","0.0607625625436045","0.277884676122463","0","0","0.121441564830839","0","0.0508093467048796","0","0.0739169363724183","0","0.140703486021514","0","0.119698876295834","0","0.114237909674861","0.225696380172942","0","0.104064317092973","0.170652160139051","0.233798970605052","0.299625124088497","0.0939169700942845","0.137122835010719","0.0685282822388326","0.358446975390208","0","0","0","0","","0","0.0594359400216861","0","0.0599369409421067",""
