"","Breaking.Bad","Planet.Earth","Sherlock","The.Shawshank.Redemption","Human.Planet","The.Blue.Planet","The.Godfather","Interstellar","Life","Pulp.Fiction","The.Dark.Knight","The.Godfather..Part.II","The.Good..the.Bad.and.the.Ugly","Valley.Uprising","X12.Angry.Men","Boyhood","Fight.Club","Schindler.s.List","The.Decalogue","The.Lord.of.the.Rings..The.Return.of.the.King","Goodfellas","Gravity","House.of.Cards","Inception","One.Flew.Over.the.Cuckoo.s.Nest","Seven.Samurai","Star.Wars","Star.Wars..Episode.V...The.Empire.Strikes.Back","The.Lord.of.the.Rings..The.Fellowship.of.the.Ring","Casablanca","City.of.God","Forrest.Gump","It.s.a.Wonderful.Life","Once.Upon.a.Time.in.the.West","Se7en","Tell.It.on.the.Mountain","The.Lego.Movie","The.Lord.of.the.Rings..The.Two.Towers","The.Matrix"
"205","0.233913061365792","0","0.350113436895675","0","0","0","0.377336749117004","0","0","0","0","0","0","0","0","1.07916103063756","0.601400344523986","0","0.211701084276611","0","0","0.208969168568612","0","0","0.158514912991631","0.798667767758132","0","0.360023090504487","0","0","0.0415588310722027","0","0","0","0.287115899193434","0.160194971394018","0","1.22197953838209","0"
"247","0","0","0","0","0.65063437464908","0","0.944033577011578","0.409864932543096","0","0.500466984494192","0","0.622291572046232","0.250214142929506","0","0.116542726893498","0.549773375350692","0","0.695907045050379","0","0.462225567356416","0","0","0","0.299150318017336","0","0","0","0.236142413259142","0","0.782998651243291","0","0","0","0","0.222908722724643","0","0","0","0"
"256","0.241085247201298","0.760342958885186","0","0.560016838962742","0.449526356757987","0","0.431499374765231","0.290220121419372","0.678904112829834","1.39551397054001","0","0","1.73534848895496","0.893847729248076","0","0","0","0","0.648107222915619","0.501694756706129","0","1.31015959831115","0","0.321698135194054","0.857320248600775","0","0","0.37186878662883","0.34996848081682","0","0","0","2.11652451519168","0","0.830571062647648","0.809934482550072","0","0.691124662986324","0.682236714388089"
"299","0.322997921536216","0","0","0.486127895885462","0.232384102745215","0","0","0","0","0","0.526610105922063","0.581977959002958","0","0","0","0","0.161963737415444","0","0.401072096863761","0","0.915596190228034","0","0.21333275031161","0","0","0","0","0.331744827596385","0","0.304401680665427","0","0.224603422167324","0","0","0","0","0.349718562370018","0","0"
"313","0","0","0","1.14088072850145","0.387306837908692","0","1.56034054717478","0.409864932543096","0","0","0.877683509870106","1.22494321059863","0","0","0","0.549773375350692","0.269939562359073","1.15712702506196","0","0.462225567356416","0.170657108364216","0","0.355554583852683","0","0","0","0","1.37930850707171","0","1.29033478568567","0.715459051080475","0.764048723400302","0","0","0.631871308687565","0","0","0","0"
"319","0.603701238628835","0","0.447824315227889","0","0","0","0","0","0.49308014181858","0","0.768330063367246","0.228999886297947","0","0","0","0.159153355542044","1.66077945429013","0","1.10914088457808","0","0.4573297454723","0.382434162150321","0","0","0.290097904650375","0","0","0","0.413493747034806","0","0","0","0","0.29669355180082","0","0","0.472957175940091","1.01676426697646","0.288631504078812"
"336","0.505288300289065","0","0.404124143615611","0.157935354810745","0.769297260288043","2.31880199790031","0","0","0.733220564615894","0.136020581988912","0.342949008085697","0.294875768419922","0.639276615507987","0","2.75563429741274","0.0891921947184009","0.507956968089633","0","0.669615052498202","0.991888093544379","0.53948065075624","0.254771649138193","1.39402247960069","0.979950570947752","1.11176214112881","0.262691873348799","1.7832886105298","0.214813829711999","1.90289681496241","0","0","0.5075555799226","0.0324442863581273","1.53816356810494","0.72491173167334","0.611467436971523","0.104330020911557","0.283593207635428","1.16056757991686"
"367","0.250663712755479","0.205858571848468","0.264730723172125","0.727203470488449","0","0.162464520676937","0","0","0.968021026388228","0.282939453141598","0.670090832729649","0.970007058953866","0","0","0.0443467665189177","0.151712136798778","0.237801053480871","0.484507115142362","0","0.404789958829407","1.02171062159517","0","0.611804537820265","0.85374370804569","0.678281971429853","0.847752894247413","0.718656451534446","0","0","0.393558938142999","0.599756836883131","0.3738899299614","0","0.695523066306059","0","0","1.55872953534606","0","0.369693109219101"
"371","0","0.338423697348776","0","0","0","0.508784408308539","0","0","0","1.16275722733727","0","0","0.873792114782021","0.908237275436437","0","0","0","0","0","0","0","0.418216239451346","0.281392877286529","0.33369155394884","0.597876573014642","0","0","0","0","0","0","0.292724476081467","0.478151836639607","0.261011577906925","0","1.42232507391545","0","0.274110754420719","0.574491999317795"
"383","0","0.5368667223611","0","0","0","0","0","0","0.594041098726105","0.20694393615578","0","0","0","0.382610653968806","0.0381261104822551","0","0","0","0.588773402800251","0","0.610850812125611","0.624121250124921","0.576523349877284","0","0","0.34769000425705","0.403977748854752","0","0","0","0","0","0.246806337193274","0","0.792380359095735","0.340586992637697","0","0.266648586277081","0.214724496138815"
